Drill Listing
=============
Drill: .015  Tool: 1  Feed: 0  Speed: 0
X 1951200  Y 1915700
X 1952100  Y 1921500
X 1925900  Y 1927100
X 1943286  Y 1932078
X 1936622  Y 1936465
X 1946900  Y 1942200
X 1938000  Y 1946600
X 1929200  Y 1949300
X 1945000  Y 1958900
X 1937200  Y 1962300
X 1943600  Y 1967600
X 1918900  Y 1968564
X 1941800  Y 1974000
X 1956000  Y 1975500
X 1918885  Y 1980556
X 1938000  Y 1995500
X 1956000  Y 1996500
X 1941400  Y 2007500
X 1921000  Y 2028400
X 1958100  Y 2201900
X 1957800  Y 2215700
X 1955900  Y 2227400
X 1953300  Y 2245500
X 1938400  Y 2257700
X 1941700  Y 2265300
X 1935200  Y 2308300
X 1936100  Y 2360100
X 1943600  Y 2447400
X 1968600  Y 2358700
X 1969400  Y 2341100
X 1973800  Y 2326500
X 1966700  Y 2321300
X 1975500  Y 2312500
X 1969000  Y 2303900
X 1978400  Y 2301900
X 1977100  Y 2292500
X 1968900  Y 2280500
X 1969500  Y 2261000
X 1969500  Y 2255000
X 1974600  Y 2240900
X 1976200  Y 2232400
X 1977700  Y 2218200
X 1977200  Y 2211100
X 1972900  Y 2206300
X 1972800  Y 2200900
X 1959000  Y 2196000
X 1977300  Y 2195100
X 1974000  Y 2183000
X 1964500  Y 2179200
X 1965992  Y 1991906
X 1962579  Y 1987870
X 1972800  Y 1981200
X 1977500  Y 1978100
X 1982800  Y 1962500
X 1969700  Y 1961600
X 1977000  Y 1959500
X 1961100  Y 1952200
X 1965600  Y 1948500
X 1961700  Y 1942300
X 1971500  Y 1937500
X 1976900  Y 1937500
X 1969600  Y 1932700
X 1978300  Y 1932400
X 1969000  Y 1917500
X 1958800  Y 1916200
X 1976400  Y 1914900
X 1981900  Y 1912600
X 1976900  Y 1908400
X 1962300  Y 1891000
X 1963900  Y 1877200
X 1975100  Y 1874500
X 1982400  Y 1873800
X 1967700  Y 1872700
X 1970700  Y 1865600
